,Unnamed: 0,idx,code,reaction,error
20,0,20,20,[C:17]([C:18]1=[C:19]([H:38])[C:20]([H:39])=[C:21]([H:40])[C:22]([H:41])=[C:23]1[H:42])(=[C:24]([C:25](=[C:26]([C:27]1=[C:28]([H:46])[C:29]([H:47])=[C:30]([H:48])[C:31]([H:49])=[C:32]1[H:50])[H:45])[H:44])[H:43])[H:37].[C:1]([C:2]1([C:3]([H:54])([H:55])[H:56])[O:4][B:5]([C:6]([B:7]2[O:8][C:9]([C:10]([H:57])([H:58])[H:59])([C:11]([H:60])([H:61])[H:62])[C:12]([C:13]([H:63])([H:64])[H:65])([C:14]([H:66])([H:67])[H:68])[O:15]2)=[C:16]([H:69])[H:70])[O:33][C:34]1([C:35]([H:71])([H:72])[H:73])[C:36]([H:74])([H:75])[H:76])([H:51])([H:52])[H:53]>>[C:1]([C:2]1([C:3]([H:54])([H:55])[H:56])[O:4][B:5]([C:6]2([B:7]3[O:8][C:9]([C:10]([H:57])([H:58])[H:59])([C:11]([H:60])([H:61])[H:62])[C:12]([C:13]([H:63])([H:64])[H:65])([C:14]([H:66])([H:67])[H:68])[O:15]3)[C:16]([H:69])([H:70])[C@@:17]([C:18]3=[C:19]([H:38])[C:20]([H:39])=[C:21]([H:40])[C:22]([H:41])=[C:23]3[H:42])([H:37])[C:24]([H:43])=[C:25]([H:44])[C@@:26]2([C:27]2=[C:28]([H:46])[C:29]([H:47])=[C:30]([H:48])[C:31]([H:49])=[C:32]2[H:50])[H:45])[O:33][C:34]1([C:35]([H:71])([H:72])[H:73])[C:36]([H:74])([H:75])[H:76])([H:51])([H:52])[H:53],False
21,0,21,21,[C:11]1([H:18])=[C:12]([H:19])[C:13]([H:20])=[C:14]([H:21])[C:15]12[C:16]([H:22])([H:23])[C:17]2([H:24])[H:25].[C:1]([C:2]1=[C:3]([C:4]([H:29])([H:30])[H:31])[C:5](=[O:6])[C:7]([H:32])=[C:8]([H:33])[C:9]1=[O:10])([H:26])([H:27])[H:28]>>[C:1]([C:2]1=[C:3]([C:4]([H:29])([H:30])[H:31])[C:5](=[O:6])[C@@:7]2([H:32])[C@@:8]([H:33])([C:9]1=[O:10])[C@@:11]1([H:18])[C:12]([H:19])=[C:13]([H:20])[C@:14]2([H:21])[C:15]12[C:16]([H:22])([H:23])[C:17]2([H:24])[H:25])([H:26])([H:27])[H:28],False
22,0,22,22,[C:1]([O:2][P:3](=[O:4])([O:5][C:6]([H:23])([H:24])[H:25])[C:7](=[C:8]([H:27])[H:28])[H:26])([H:20])([H:21])[H:22].[C:9]1([Cl:10])=[C:11]([Cl:12])[C:13]([Cl:14])=[C:15]([Cl:16])[C:17]1([Cl:18])[Cl:19]>>[C:1]([O:2][P:3](=[O:4])([O:5][C:6]([H:23])([H:24])[H:25])[C@:7]1([H:26])[C:8]([H:27])([H:28])[C@:9]2([Cl:10])[C:11]([Cl:12])=[C:13]([Cl:14])[C@@:15]1([Cl:16])[C:17]2([Cl:18])[Cl:19])([H:20])([H:21])[H:22],False
23,0,23,23,[C:1]([C:2]([C:3]([H:22])([H:23])[H:24])=[C:4]1[C:5]([H:25])=[C:6]([H:26])[C:7]([H:27])=[C:8]1[H:28])([H:19])([H:20])[H:21].[C:9]([C:10]([H:14])([H:15])[H:16])([C:11]#[N:12])=[C:13]([H:17])[H:18]>>[C:1]([C:2]([C:3]([H:22])([H:23])[H:24])=[C:4]1[C:5]2([H:25])[C:6]([H:26])=[C:7]([H:27])[C:8]1([H:28])[C:9]([C:10]([H:14])([H:15])[H:16])([C:11]#[N:12])[C:13]2([H:17])[H:18])([H:19])([H:20])[H:21],False
24,0,24,24,[C:1]([O:2][C:3](=[O:4])[C:5]1=[C:26]([H:52])[C:27]([H:53])([H:54])[C:28]([H:55])([H:56])[C:29]1=[O:30])([H:49])([H:50])[H:51].[C:6](=[C:7]([O:8][C:9]([C:10]1=[C:11]([H:35])[C:12]([H:36])=[C:13]([H:37])[C:14]([H:38])=[C:15]1[H:39])([H:33])[H:34])[C:16]([O:17][C:18]([C:19]1=[C:20]([H:42])[C:21]([H:43])=[C:22]([H:44])[C:23]([H:45])=[C:24]1[H:46])([H:40])[H:41])=[C:25]([H:47])[H:48])([H:31])[H:32]>>[C:1]([O:2][C:3](=[O:4])[C@:5]12[C:6]([H:31])([H:32])[C:7]([O:8][C:9]([C:10]3=[C:11]([H:35])[C:12]([H:36])=[C:13]([H:37])[C:14]([H:38])=[C:15]3[H:39])([H:33])[H:34])=[C:16]([O:17][C:18]([C:19]3=[C:20]([H:42])[C:21]([H:43])=[C:22]([H:44])[C:23]([H:45])=[C:24]3[H:46])([H:40])[H:41])[C:25]([H:47])([H:48])[C@@:26]1([H:52])[C:27]([H:53])([H:54])[C:28]([H:55])([H:56])[C:29]2=[O:30])([H:49])([H:50])[H:51],False
25,0,25,25,[C:10]1([H:33])=[C:22]([H:34])[C:20](=[O:21])[N:13]([C:14]2=[C:15]([H:35])[C:16]([H:36])=[C:17]([H:37])[C:18]([H:38])=[C:19]2[H:39])[C:11]1=[O:12].[C:1]([O:2][C:3](=[O:4])/[C:5](=[C:6]([C:7](=[C:8](/[C:9]([H:30])([H:31])[H:32])[H:29])/[H:28])\[H:27])[H:26])([H:23])([H:24])[H:25]>>[C:1]([O:2][C:3](=[O:4])[C@@:5]1([H:26])[C:6]([H:27])=[C:7]([H:28])[C@:8]([C:9]([H:30])([H:31])[H:32])([H:29])[C@@:10]2([H:33])[C:11](=[O:12])[N:13]([C:14]3=[C:15]([H:35])[C:16]([H:36])=[C:17]([H:37])[C:18]([H:38])=[C:19]3[H:39])[C:20](=[O:21])[C@@:22]12[H:34])([H:23])([H:24])[H:25],False
26,0,26,26,[C:12]1([H:29])=[C:13]([H:30])[C:14]([H:31])=[C:15]([H:32])[C:16]([H:33])([H:34])[C:17]1([H:35])[H:36].[C:1]([C:2]([O:3][C:4](=[O:5])[C@@:6]([C:7]([H:43])([H:44])[H:45])([O:8][C:9](=[O:10])/[C:11](=[C:18](/[C:19](=[O:20])[O:21][C@:22]([C:23]([H:49])([H:50])[H:51])([C:24](=[O:25])[O:26][C:27]([C:28]([H:54])([H:55])[H:56])([H:52])[H:53])[H:48])[H:47])[H:46])[H:42])([H:40])[H:41])([H:37])([H:38])[H:39]>>[C:1]([C:2]([O:3][C:4](=[O:5])[C@@:6]([C:7]([H:43])([H:44])[H:45])([O:8][C:9](=[O:10])[C@@:11]1([H:46])[C@:12]2([H:29])[C:13]([H:30])=[C:14]([H:31])[C@@:15]([H:32])([C:16]([H:33])([H:34])[C:17]2([H:35])[H:36])[C@@:18]1([C:19](=[O:20])[O:21][C@:22]([C:23]([H:49])([H:50])[H:51])([C:24](=[O:25])[O:26][C:27]([C:28]([H:54])([H:55])[H:56])([H:52])[H:53])[H:48])[H:47])[H:42])([H:40])[H:41])([H:37])([H:38])[H:39],False
27,0,27,27,[C:17]1([H:25])=[C:18]([H:26])[C:19]([H:27])=[C:20]([H:28])[C:21]1([H:29])[H:30].[C:1]([O:2][C:3](=[O:4])[C@:5]([C:6]([C:7]1=[C:8]([H:37])[C:9]([H:38])=[C:10]([H:39])[C:11]([H:40])=[C:12]1[H:41])([H:35])[H:36])([N:13]1[C:14](=[O:15])[C:16]([H:42])=[C:22]([H:43])[C:23]1=[O:24])[H:34])([H:31])([H:32])[H:33]>>[C:1]([O:2][C:3](=[O:4])[C@:5]([C:6]([C:7]1=[C:8]([H:37])[C:9]([H:38])=[C:10]([H:39])[C:11]([H:40])=[C:12]1[H:41])([H:35])[H:36])([N:13]1[C:14](=[O:15])[C@@:16]2([H:42])[C@@:17]3([H:25])[C:18]([H:26])=[C:19]([H:27])[C@:20]([H:28])([C:21]3([H:29])[H:30])[C@@:22]2([H:43])[C:23]1=[O:24])[H:34])([H:31])([H:32])[H:33],False
28,0,28,28,[C:9](=[C:10]([C:11](=[C:12]1[C:13]([H:19])([H:20])[C:14]1([H:21])[H:22])[H:18])[H:17])([H:15])[H:16].[O:1]=[C:2]1[C:3]([H:23])=[C:4]([H:24])[C:5](=[O:6])[C:7]([H:25])=[C:8]1[H:26]>>[O:1]=[C:2]1[C:3]([H:23])=[C:4]([H:24])[C:5](=[O:6])[C@:7]2([H:25])[C@@:8]1([H:26])[C:9]([H:15])([H:16])[C:10]([H:17])=[C:11]([H:18])[C:12]21[C:13]([H:19])([H:20])[C:14]1([H:21])[H:22],False
29,0,29,29,[C:7]1([H:19])=[C:8]([H:20])[C:9]([H:21])=[C:10]([H:22])[C:11]1([H:23])[H:24].[O:1]=[C:2]([O:3][C:4]([C:5](=[C:6]([H:28])[H:29])[H:27])([H:25])[H:26])[C:12]1=[C:13]([H:30])[C:14]([H:31])=[C:15]([Br:16])[C:17]([H:32])=[C:18]1[H:33]>>[O:1]=[C:2]([O:3][C:4]([C@:5]1([H:27])[C:6]([H:28])([H:29])[C@:7]2([H:19])[C:8]([H:20])=[C:9]([H:21])[C@@:10]1([H:22])[C:11]2([H:23])[H:24])([H:25])[H:26])[C:12]1=[C:13]([H:30])[C:14]([H:31])=[C:15]([Br:16])[C:17]([H:32])=[C:18]1[H:33],False
