,idx,code,reaction
0,24,16,[C:1](/[C:2]([O-:3])=[C:4](/[C:5]([c:6]1[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]([C:11]([H:22])([H:23])[H:24])[c:12]1[H:25])([O:13][H:26])[H:18])[H:17])([H:14])([H:15])[H:16]>>[C:1]([C:2](=[O:3])/[C:4](=[C:5](/[c:6]1[c:7]([H:19])[c:8]([H:20])[c:9]([H:21])[c:10]([C:11]([H:22])([H:23])[H:24])[c:12]1[H:25])[H:18])[H:17])([H:14])([H:15])[H:16].[O-:13][H:26]
0,25,17,[C-:8]#[N:9].[C:1](=[C:2]([C:3]([H:12])([H:13])[H:14])[C:4]([C:5]([C:6](=[O:7])[H:19])([H:17])[H:18])([H:15])[H:16])([H:10])[H:11]>>[C:1](=[C:2]([C:3]([H:12])([H:13])[H:14])[C:4]([C:5]([C:6]([O-:7])([C:8]#[N:9])[H:19])([H:17])[H:18])([H:15])[H:16])([H:10])[H:11]
0,26,18,[C:1]([O-:2])([H:32])([H:33])[H:34].[C:3]([O+:4]=[C:5]1[C:6]([H:18])=[C:7]2[C:8]([H:19])([H:20])[C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[C:11]([H:25])([H:26])[C:12]2([H:27])[C:13]([H:28])([H:29])[C:14]1([H:30])[H:31])([H:15])([H:16])[H:17]>>[C:1]([O:2][H:19])([H:32])([H:33])[H:34].[C:3]([O:4][C:5]1=[C:6]([H:18])[C:7]2=[C:8]([H:20])[C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[C:11]([H:25])([H:26])[C:12]2([H:27])[C:13]([H:28])([H:29])[C:14]1([H:30])[H:31])([H:15])([H:16])[H:17]
1,27,18,[C:1]([O-:2])([H:32])([H:33])[H:34].[C:3]([O+:4]=[C:5]1[C:6]([H:18])=[C:7]2[C:8]([H:19])([H:20])[C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[C:11]([H:25])([H:26])[C:12]2([H:27])[C:13]([H:28])([H:29])[C:14]1([H:30])[H:31])([H:15])([H:16])[H:17]>>[C:1]([O:2][H:30])([H:32])([H:33])[H:34].[C:3]([O:4][C:5]1=[C:14]([H:31])[C:13]([H:28])([H:29])[C:12]2([H:27])[C:7](=[C:6]1[H:18])[C:8]([H:19])([H:20])[C:9]([H:21])([H:22])[C:10]([H:23])([H:24])[C:11]2([H:25])[H:26])([H:15])([H:16])[H:17]
0,28,19,[C:1]([C:2]([O-:3])=[C:4]([H:16])[H:17])([H:13])([H:14])[H:15].[C:5](=[O:6])([c:7]1[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]([H:22])[c:12]1[H:23])[H:18]>>[C:1]([C:2](=[O:3])[C:4]([C:5]([O-:6])([c:7]1[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]([H:22])[c:12]1[H:23])[H:18])([H:16])[H:17])([H:13])([H:14])[H:15]
0,29,20,[C:1](=[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])=[O:5])[H:11])([H:9])[H:10].[O-:6][C:7]([C:8]([H:17])([H:18])[H:19])([H:15])[H:16]>>[C:1](=[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([O-:5])[O:6][C:7]([C:8]([H:17])([H:18])[H:19])([H:15])[H:16])[H:11])([H:9])[H:10]
1,30,20,[C:1](=[C:2]([C:3]([C:4]([H:12])([H:13])[H:14])=[O:5])[H:11])([H:9])[H:10].[O-:6][C:7]([C:8]([H:17])([H:18])[H:19])([H:15])[H:16]>>[C:1](=[C:2]([C:3](=[C:4]([H:12])[H:13])[O-:5])[H:11])([H:9])[H:10].[O:6]([C:7]([C:8]([H:17])([H:18])[H:19])([H:15])[H:16])[H:14]
0,31,21,[B-:1]([O:2][C:3]([C:4]([H:27])([H:28])[H:29])([C:5]([H:30])([H:31])[H:32])[H:26])([H:23])([H:24])[H:25].[C:6]([C:7](=[O:8])[c:9]1[c:10]([H:18])[c:11]([H:19])[c:12]([H:20])[c:13]([H:21])[c:14]1[H:22])([H:15])([H:16])[H:17]>>[B:1]([O:2][C:3]([C:4]([H:27])([H:28])[H:29])([C:5]([H:30])([H:31])[H:32])[H:26])([H:24])[H:25].[C:6]([C:7]([O-:8])([c:9]1[c:10]([H:18])[c:11]([H:19])[c:12]([H:20])[c:13]([H:21])[c:14]1[H:22])[H:23])([H:15])([H:16])[H:17]
0,32,22,[C:1]([C:2](=[O:3])[C:4]([C:5]([O:6][H:20])([c:7]1[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]1[H:25])[H:19])([H:17])[H:18])([H:14])([H:15])[H:16].[O-:13][H:26]>>[C:1](/[C:2]([O-:3])=[C:4](/[C:5]([O:6][H:20])([c:7]1[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]1[H:25])[H:19])[H:17])([H:14])([H:15])[H:16].[O:13]([H:18])[H:26]
1,33,22,[C:1]([C:2](=[O:3])[C:4]([C:5]([O:6][H:20])([c:7]1[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]1[H:25])[H:19])([H:17])[H:18])([H:14])([H:15])[H:16].[O-:13][H:26]>>[C:1](=[C:2]([O-:3])[C:4]([C:5]([O:6][H:20])([c:7]1[c:8]([H:21])[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]1[H:25])[H:19])([H:17])[H:18])([H:14])[H:15].[O:13]([H:16])[H:26]
0,34,23,[C:1]([C:2](=[O:3])[O:4][H:11])([H:8])([H:9])[H:10].[C:5]([N:6]([C:7]([H:16])([H:17])[H:18])[H:15])([H:12])([H:13])[H:14]>>[C:1]([C:2](=[O:3])[O-:4])([H:8])([H:9])[H:10].[C:5]([N+:6]([C:7]([H:16])([H:17])[H:18])([H:11])[H:15])([H:12])([H:13])[H:14]
0,35,24,[C:1]([C:2]1([O:3][H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[C:8]1([H:22])[H:23])([H:10])([H:11])[H:12].[O+:9]([H:24])([H:25])[H:26]>>[C:1]([C:2]1([O+:3]([H:13])[H:24])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[C:8]1([H:22])[H:23])([H:10])([H:11])[H:12].[O:9]([H:25])[H:26]
0,36,25,[C:1]([C:2]1([O+:8]([H:12])[H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[C:7]1([H:22])[H:23])([H:9])([H:10])[H:11]>>[C:1]([C+:2]1[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[C:7]1([H:22])[H:23])([H:9])([H:10])[H:11].[O:8]([H:12])[H:13]
0,37,26,[C:1]([C:2]([C@:3]([F:5])([Br:6])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[O-:4][H:13]>>[Br-:6].[C:1]([C:2]([C@:3]([O:4][H:13])([F:5])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9]
0,38,27,[C:1]([O:2][C:3]([C:4]([H:10])([H:11])[H:12])([H:8])[H:9])([Cl:5])([H:6])[H:7]>>[C:1](=[O+:2][C:3]([C:4]([H:10])([H:11])[H:12])([H:8])[H:9])([H:6])[H:7].[Cl-:5]
0,39,28,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4](=[O:5])[c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])([Cl:12])([H:16])[H:17]>>[C:1]([O:2][C:3]([C:4](=[O:5])[c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])([H:16])[H:17])([H:13])([H:14])[H:15].[Cl-:12]
1,40,28,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4](=[O:5])[c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])([Cl:12])([H:16])[H:17]>>[C:1]([O:2][H:16])([H:13])([H:14])[H:15].[C:3](=[C:4](\[O-:5])[c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])(\[Cl:12])[H:17]
2,41,28,[C:1]([O-:2])([H:13])([H:14])[H:15].[C:3]([C:4](=[O:5])[c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])([Cl:12])([H:16])[H:17]>>[C:1]([O:2][C:4]([C:3]([Cl:12])([H:16])[H:17])([O-:5])[c:6]1[c:7]([H:18])[c:8]([H:19])[c:9]([H:20])[c:10]([H:21])[c:11]1[H:22])([H:13])([H:14])[H:15]
