,idx,code,reaction
2,107,78,[C:13]([C:14]([C:15]([H:31])([H:32])[H:33])([C:16]([H:34])([H:35])[H:36])[O-:17])([H:28])([H:29])[H:30].[C:1]([C:2](=[O:3])[C:4]([C:5](=[O:6])[c:7]1[c:8]([H:23])[c:9]([H:24])[c:10]([H:25])[c:11]([H:26])[c:12]1[H:27])([H:21])[H:22])([H:18])([H:19])[H:20]>>[C:13]([C:14]([C:15]([H:31])([H:32])[H:33])([C:16]([H:34])([H:35])[H:36])[O:17][H:22])([H:28])([H:29])[H:30].[C:1](/[C:2]([O-:3])=[C:4](/[C:5](=[O:6])[c:7]1[c:8]([H:23])[c:9]([H:24])[c:10]([H:25])[c:11]([H:26])[c:12]1[H:27])[H:21])([H:18])([H:19])[H:20]
0,108,79,[C:1]([O-:2])([H:20])([H:21])[H:22].[C:3]([C:4]([H:12])([H:13])[H:14])(=[O:5])[c:6]1[c:7]([H:15])[c:8]([H:16])[c:9]([H:17])[c:10]([H:18])[c:11]1[H:19]>>[C:1]([O:2][C:3]([C:4]([H:12])([H:13])[H:14])([O-:5])[c:6]1[c:7]([H:15])[c:8]([H:16])[c:9]([H:17])[c:10]([H:18])[c:11]1[H:19])([H:20])([H:21])[H:22]
1,109,79,[C:1]([O-:2])([H:20])([H:21])[H:22].[C:3]([C:4]([H:12])([H:13])[H:14])(=[O:5])[c:6]1[c:7]([H:15])[c:8]([H:16])[c:9]([H:17])[c:10]([H:18])[c:11]1[H:19]>>[C:1]([O:2][H:14])([H:20])([H:21])[H:22].[C:3](=[C:4]([H:12])[H:13])([O-:5])[c:6]1[c:7]([H:15])[c:8]([H:16])[c:9]([H:17])[c:10]([H:18])[c:11]1[H:19]
0,110,80,[B-:1]([H:15])([H:16])([H:17])[H:18].[C:2]([C:3]([C:4]([C:5]([H:12])([H:13])[H:14])=[O:6])([H:10])[H:11])([H:7])([H:8])[H:9]>>[B:1]([H:16])([H:17])[H:18].[C:2]([C:3]([C:4]([C:5]([H:12])([H:13])[H:14])([O-:6])[H:15])([H:10])[H:11])([H:7])([H:8])[H:9]
0,111,81,[C:1]([C:2](/[C:3]([O-:4])=[C:5](/[C:6]([c:7]1[c:8]([H:22])[c:9]([H:23])[c:10]([H:24])[c:11]([Cl:12])[c:13]1[H:25])([O:14][H:26])[H:21])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17]>>[C:1]([C:2]([C:3](=[O:4])/[C:5](=[C:6](/[c:7]1[c:8]([H:22])[c:9]([H:23])[c:10]([H:24])[c:11]([Cl:12])[c:13]1[H:25])[H:21])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17].[O-:14][H:26]
0,112,82,[C:1]([C:2]([N:3]([C:4]([H:20])([H:21])[H:22])[H:19])([H:17])[H:18])([H:14])([H:15])[H:16].[O:5]=[C:6]([O:7][H:23])[c:8]1[c:9]([H:24])[c:10]([H:25])[c:11]([H:26])[c:12]([H:27])[c:13]1[H:28]>>[C:1]([C:2]([N+:3]([C:4]([H:20])([H:21])[H:22])([H:19])[H:23])([H:17])[H:18])([H:14])([H:15])[H:16].[O:5]=[C:6]([O-:7])[c:8]1[c:9]([H:24])[c:10]([H:25])[c:11]([H:26])[c:12]([H:27])[c:13]1[H:28]
0,113,83,[C:1](/[C:2](=[C:3](/[S:4](=[O:5])(=[O:6])[Br:12])[H:17])[H:16])([H:13])([H:14])[H:15].[O:7]([C:8]([C:9]([C:10]([C:11]([H:25])([H:26])[H:27])([H:23])[H:24])([H:21])[H:22])([H:19])[H:20])[H:18]>>[Br-:12].[C:1](/[C:2](=[C:3](/[S:4](=[O:5])(=[O:6])[O+:7]([C:8]([C:9]([C:10]([C:11]([H:25])([H:26])[H:27])([H:23])[H:24])([H:21])[H:22])([H:19])[H:20])[H:18])[H:17])[H:16])([H:13])([H:14])[H:15]
0,114,84,[C:1]([N-:2][C:3]([H:32])([H:33])[H:34])([H:29])([H:30])[H:31].[C:4]1([H:13])([H:14])[C:5]([C:6]([H:15])([H:16])[H:17])([C:8]([C:9]([C:10]([H:20])([H:21])[H:22])([C:11]([H:23])([H:24])[H:25])[C:12]([H:26])([H:27])[H:28])([H:18])[H:19])[O:7]1>>[C:1]([N:2]([C:3]([H:32])([H:33])[H:34])[C:4]([C:5]([C:6]([H:15])([H:16])[H:17])([O-:7])[C:8]([C:9]([C:10]([H:20])([H:21])[H:22])([C:11]([H:23])([H:24])[H:25])[C:12]([H:26])([H:27])[H:28])([H:18])[H:19])([H:13])[H:14])([H:29])([H:30])[H:31]
0,115,85,[C:1](=[C:2]([C:3]([Br:10])([H:14])[H:15])[H:13])([H:11])[H:12].[O-:4][C:5]1([H:16])[C:6]([H:17])([H:18])[C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[C:9]1([H:23])[H:24]>>[Br-:10].[C:1](=[C:2]([C:3]([O:4][C:5]1([H:16])[C:6]([H:17])([H:18])[C:7]([H:19])([H:20])[C:8]([H:21])([H:22])[C:9]1([H:23])[H:24])([H:14])[H:15])[H:13])([H:11])[H:12]
0,116,86,[Br:11][H:12].[C:1]([C:2]([C:3]([H:16])([H:17])[H:18])=[C:4]([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]1[H:24])[H:19])([H:13])([H:14])[H:15]>>[Br-:11].[C:1]([C+:2]([C:3]([H:16])([H:17])[H:18])[C:4]([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]1[H:24])([H:12])[H:19])([H:13])([H:14])[H:15]
1,117,86,[Br:11][H:12].[C:1]([C:2]([C:3]([H:16])([H:17])[H:18])=[C:4]([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]1[H:24])[H:19])([H:13])([H:14])[H:15]>>[Br-:11].[C:1]([C:2]([C:3]([H:16])([H:17])[H:18])([C+:4]([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]1[H:24])[H:19])[H:12])([H:13])([H:14])[H:15]
0,118,87,[C:1]([C:2]([O-:3])([H:18])[H:19])([H:15])([H:16])[H:17].[C:4]([C:5]([H:9])([H:10])[H:11])([C:6]([H:12])([H:13])[H:14])([I:7])[H:8]>>[C:1]([C:2]([O:3][C:4]([C:5]([H:9])([H:10])[H:11])([C:6]([H:12])([H:13])[H:14])[H:8])([H:18])[H:19])([H:15])([H:16])[H:17].[I-:7]
0,119,88,[C:1]([C:2]([Br:6])([H:10])[H:11])([H:7])([H:8])[H:9].[N:3]([C:4]([C:5]([H:16])([H:17])[H:18])([H:14])[H:15])([H:12])[H:13]>>[Br-:6].[C:1]([C:2]([N+:3]([C:4]([C:5]([H:16])([H:17])[H:18])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]
0,120,89,[C:1]([C:2]1([O:3][H:13])[C:4]([H:14])=[C:5]([H:15])[C:6]([H:16])=[C:7]([H:17])[C:8]1([H:18])[H:19])([H:10])([H:11])[H:12].[O+:9]([H:20])([H:21])[H:22]>>[C:1]([C:2]1([O+:3]([H:13])[H:20])[C:4]([H:14])=[C:5]([H:15])[C:6]([H:16])=[C:7]([H:17])[C:8]1([H:18])[H:19])([H:10])([H:11])[H:12].[O:9]([H:21])[H:22]
0,121,90,[C:1]([C:2]1([O+:8]([H:12])[H:13])[C:3]([H:14])=[C:4]([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]1([H:18])[H:19])([H:9])([H:10])[H:11]>>[C:1]([C+:2]1[C:3]([H:14])=[C:4]([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]1([H:18])[H:19])([H:9])([H:10])[H:11].[O:8]([H:12])[H:13]
0,122,91,[N+:1](#[C:2][C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15])[H:13].[O:3]([H:11])[H:12]>>[N:1](=[C:2]([O+:3]([H:11])[H:12])[C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15])[H:13]
1,123,91,[N+:1](#[C:2][C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15])[H:13].[O:3]([H:11])[H:12]>>[N:1]#[C:2][C:4]([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])([H:14])[H:15].[O+:3]([H:11])([H:12])[H:13]
0,124,92,[C:1]([C:2]([O-:3])([H:24])[H:25])([H:21])([H:22])[H:23].[C:4]([C:5]1([H:13])[C:6]([H:14])([H:15])[O+:9]([H:16])[C:8]([H:17])([H:18])[C:7]1([H:19])[H:20])([H:10])([H:11])[H:12]>>[C:1]([C:2]([O:3][C:6]([C:5]([C:4]([H:10])([H:12])[H:11])([C:7]([C:8]([O:9][H:16])([H:17])[H:18])([H:19])[H:20])[H:13])([H:14])[H:15])([H:24])[H:25])([H:21])([H:22])[H:23]
1,125,92,[C:1]([C:2]([O-:3])([H:24])[H:25])([H:21])([H:22])[H:23].[C:4]([C:5]1([H:13])[C:6]([H:14])([H:15])[O+:9]([H:16])[C:8]([H:17])([H:18])[C:7]1([H:19])[H:20])([H:10])([H:11])[H:12]>>[C:1]([C:2]([O:3][C:8]([C:7]([C:5]([C:4]([H:10])([H:11])[H:12])([C:6]([O:9][H:16])([H:14])[H:15])[H:13])([H:19])[H:20])([H:17])[H:18])([H:24])[H:25])([H:21])([H:22])[H:23]
0,126,93,[C:1]([O:2][C:3]([C:4]([H:10])([H:11])[H:12])([C:5]([H:13])([H:14])[H:15])[H:9])([Br:6])([H:7])[H:8]>>[Br-:6].[C:1](=[O+:2][C:3]([C:4]([H:10])([H:11])[H:12])([C:5]([H:13])([H:14])[H:15])[H:9])([H:7])[H:8]
0,127,94,[C:1]([C:2]([O-:3])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4]([C:5](=[O:6])[H:15])([Cl:7])([H:13])[H:14]>>[C:1]([C:2]([O:3][C:4]([C:5](=[O:6])[H:15])([H:13])[H:14])([H:11])[H:12])([H:8])([H:9])[H:10].[Cl-:7]
1,128,94,[C:1]([C:2]([O-:3])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4]([C:5](=[O:6])[H:15])([Cl:7])([H:13])[H:14]>>[C:1]([C:2]([O:3][H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4](=[C:5](\[O-:6])[H:15])(\[Cl:7])[H:14]
2,129,94,[C:1]([C:2]([O-:3])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4]([C:5](=[O:6])[H:15])([Cl:7])([H:13])[H:14]>>[C:1]([C:2]([O:3][C:5]([C:4]([Cl:7])([H:13])[H:14])([O-:6])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10]
0,130,95,[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])([C:4]([Cl:6])([H:13])[H:14])[O-:5])([H:7])([H:8])[H:9]>>[C:1]([C:2]1([C:3]([H:10])([H:11])[H:12])[C:4]([H:13])([H:14])[O:5]1)([H:7])([H:8])[H:9].[Cl-:6]
0,131,96,[C:1]([N-:2][H:15])([H:12])([H:13])[H:14].[C:3]([c:4]1[c:5]([H:18])[c:6]([H:19])[c:7]([H:20])[c:8]([C:9]([H:21])([H:22])[H:23])[c:10]1[H:24])([Cl:11])([H:16])[H:17]>>[C:1]([N:2]([C:3]([c:4]1[c:5]([H:18])[c:6]([H:19])[c:7]([H:20])[c:8]([C:9]([H:21])([H:22])[H:23])[c:10]1[H:24])([H:16])[H:17])[H:15])([H:12])([H:13])[H:14].[Cl-:11]
0,132,97,[N+:1]([C:6]([c:5]1[c:4]([H:17])[c:3]([H:18])[c:2]([H:19])[c:12]([H:20])[c:11]1[H:21])([C:7]([C:8]([C:9]([O-:10])([H:26])[H:27])([H:24])[H:25])([H:22])[H:23])[H:16])([H:13])([H:14])[H:15]>>[N:1]([H:13])([H:14])[H:15].[c:2]1([H:19])[c:3]([H:18])[c:4]([H:17])[c:5]([C:6]2([H:16])[C:7]([H:22])([H:23])[C:8]([H:24])([H:25])[C:9]([H:26])([H:27])[O:10]2)[c:11]([H:21])[c:12]1[H:20]
0,133,98,[C:1]([C:2]([C:3]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[H:20])[Cl:9])([H:13])[H:14])([H:10])([H:11])[H:12].[C:6]([C:7]([O-:8])([H:24])[H:25])([H:21])([H:22])[H:23]>>[C:1]([C:2](=[C:3]([C:4]([H:15])([H:16])[H:17])[C:5]([H:18])([H:19])[H:20])[H:13])([H:10])([H:11])[H:12].[C:6]([C:7]([O:8][H:14])([H:24])[H:25])([H:21])([H:22])[H:23].[Cl-:9]
1,134,98,[C:1]([C:2]([C:3]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[H:20])[Cl:9])([H:13])[H:14])([H:10])([H:11])[H:12].[C:6]([C:7]([O-:8])([H:24])[H:25])([H:21])([H:22])[H:23]>>[C:1]([C:2]([C:3](=[C:4]([H:15])[H:16])[C:5]([H:18])([H:19])[H:20])([H:13])[H:14])([H:10])([H:11])[H:12].[C:6]([C:7]([O:8][H:17])([H:24])[H:25])([H:21])([H:22])[H:23].[Cl-:9]
0,135,99,[C:1]([C:2]([O:3][C:4]([H:21])([H:22])[H:23])([H:19])[H:20])([N+:9]([C:8]([H:24])([H:25])[H:26])([C:10]([H:27])([H:28])[H:29])[C:11]([H:30])([H:31])[H:32])([H:17])[H:18].[C:5]([C:6]([O-:7])([H:15])[H:16])([H:12])([H:13])[H:14]>>[C:1](=[C:2]([O:3][C:4]([H:21])([H:22])[H:23])[H:20])([H:17])[H:18].[C:5]([C:6]([O:7][H:19])([H:15])[H:16])([H:12])([H:13])[H:14].[C:8]([N:9]([C:10]([H:27])([H:28])[H:29])[C:11]([H:30])([H:31])[H:32])([H:24])([H:25])[H:26]
1,136,99,[C:1]([C:2]([O:3][C:4]([H:21])([H:22])[H:23])([H:19])[H:20])([N+:9]([C:8]([H:24])([H:25])[H:26])([C:10]([H:27])([H:28])[H:29])[C:11]([H:30])([H:31])[H:32])([H:17])[H:18].[C:5]([C:6]([O-:7])([H:15])[H:16])([H:12])([H:13])[H:14]>>[C:1]([C:2]([O:3][C:4]([H:21])([H:22])[H:23])([H:19])[H:20])([O:7][C:6]([C:5]([H:12])([H:13])[H:14])([H:15])[H:16])([H:17])[H:18].[C:8]([N:9]([C:10]([H:27])([H:28])[H:29])[C:11]([H:30])([H:31])[H:32])([H:24])([H:25])[H:26]
2,137,99,[C:1]([C:2]([O:3][C:4]([H:21])([H:22])[H:23])([H:19])[H:20])([N+:9]([C:8]([H:24])([H:25])[H:26])([C:10]([H:27])([H:28])[H:29])[C:11]([H:30])([H:31])[H:32])([H:17])[H:18].[C:5]([C:6]([O-:7])([H:15])[H:16])([H:12])([H:13])[H:14]>>[C:1]([C:2]([O:3][C:4]([H:21])([H:22])[H:23])([H:19])[H:20])([N:9]([C:10]([H:27])([H:28])[H:29])[C:11]([H:30])([H:31])[H:32])([H:17])[H:18].[C:5]([C:6]([O:7][C:8]([H:24])([H:25])[H:26])([H:15])[H:16])([H:12])([H:13])[H:14]
0,138,100,[Br:1][Br:8].[c:2]1([H:11])[c:3]([H:12])[c:4]([H:13])[c:5]([C:6](=[C:7]([H:15])[H:16])[H:14])[c:9]([H:17])[c:10]1[H:18]>>[Br-:1].[c:2]1([H:11])[c:3]([H:12])[c:4]([H:13])[c:5]([C:6]2([H:14])[C:7]([H:15])([H:16])[Br+:8]2)[c:9]([H:17])[c:10]1[H:18]
0,139,101,[C:3](=[O:4])([c:5]1[c:6]([H:12])[c:7]([H:13])[c:8]([H:14])[c:9]([H:15])[c:10]1[H:16])[H:11].[N:1]#[C-:2]>>[N:1]#[C:2][C:3]([O-:4])([c:5]1[c:6]([H:12])[c:7]([H:13])[c:8]([H:14])[c:9]([H:15])[c:10]1[H:16])[H:11]
0,140,102,[C:1]([C:2]([C:3]([O-:4])([O:5][C:6]([H:13])([H:14])[H:15])[Cl:7])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3](=[O:4])[O:5][C:6]([H:13])([H:14])[H:15])([H:11])[H:12])([H:8])([H:9])[H:10].[Cl-:7]
0,141,103,[C-:5]#[N:6].[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([O+:7]([H:17])[H:18])([H:15])[H:16])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([C:5]#[N:6])([H:15])[H:16])[H:11])([H:8])([H:9])[H:10].[O:7]([H:17])[H:18]
1,142,103,[C-:5]#[N:6].[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([O+:7]([H:17])[H:18])([H:15])[H:16])[H:11])([H:8])([H:9])[H:10]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([O:7][H:18])([H:15])[H:16])[H:11])([H:8])([H:9])[H:10].[C:5](#[N:6])[H:17]
0,143,104,[C:1]([C:2]([C:3]([O-:4])=[C:5]([H:19])[H:20])([H:17])[H:18])([H:14])([H:15])[H:16].[C:6](=[O:7])([c:8]1[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]([H:25])[c:13]1[H:26])[H:21]>>[C:1]([C:2]([C:3](=[O:4])[C:5]([C:6]([O-:7])([c:8]1[c:9]([H:22])[c:10]([H:23])[c:11]([H:24])[c:12]([H:25])[c:13]1[H:26])[H:21])([H:19])[H:20])([H:17])[H:18])([H:14])([H:15])[H:16]
0,144,105,[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])([O-:4])[O:6][C:5]([H:13])([H:14])[H:15])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:10])([H:11])[H:12])=[O:4])([H:7])([H:8])[H:9].[C:5]([O-:6])([H:13])([H:14])[H:15]
0,145,106,[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[O-:6])([H:11])[H:12])([H:8])([H:9])[H:10].[O+:7]([H:19])([H:20])[H:21]>>[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5]([H:16])([H:17])[H:18])[O:6][H:19])([H:11])[H:12])([H:8])([H:9])[H:10].[O:7]([H:20])[H:21]
0,146,107,[C:1]([C:2]([C:3]([C:4]([C:5](=[O:6])[N-:7][C:8]([H:19])([H:20])[H:21])([H:17])[H:18])([H:15])[H:16])([C:9]([Br:10])([H:22])[H:23])[H:14])([H:11])([H:12])[H:13]>>[Br-:10].[C:1]([C:2]1([H:14])[C:3]([H:15])([H:16])[C:4]([H:17])([H:18])[C:5](=[O:6])[N:7]([C:8]([H:19])([H:20])[H:21])[C:9]1([H:22])[H:23])([H:11])([H:12])[H:13]
